Time,Longitude,Altitude,Roll,Pitch,Heading,GroundAltitude
686.717,32.97261682,3628.811626,1.718743787,-1.742513379,321.1034214,562.6604739
687.717,32.97213866,3638.179417,-0.4416988888,-0.5944334445,321.3561657,573.3782257
688.717,32.97164859,3649.245876,1.182330185,0.8982340156,321.5967796,585.8343683
689.717,32.9711616,3661.017949,2.056864724,-1.481918183,321.7018279,598.9675889
690.717,32.9706728,3671.750088,0.903435845,-1.108735216,322.4918896,611.0765691
691.717,32.97018157,3680.126053,1.762063515,-2.921389942,322.6672888,620.809308
692.717,32.96968657,3684.99745,1.63831372,-4.121373284,323.1802361,627.0532378
693.717,32.96918723,3686.021415,1.852771202,-4.202922328,323.4198391,629.4624695
694.717,32.96868363,3684.679772,1.07611562,-3.943768302,323.7616764,629.3016616
695.717,32.96817599,3682.53744,-0.4926550348,-3.108533283,322.5384988,627.0518316
696.717,32.96766093,3679.968692,-1.59812937,-3.327530493,322.8795165,614.7320436
697.717,32.96713808,3676.507658,0.1024855678,-2.999471171,321.8387869,599.6622361
698.717,32.9666095,3674.866479,3.339020578,-0.6826714311,321.8932918,594.8253122
699.717,32.96608124,3676.448833,1.28293631,-1.726709708,322.9292129,598.9731809
700.717,32.96555133,3677.879403,-0.5424145104,-2.381871165,322.8366502,597.2968813
701.717,32.9650167,3679.116972,0.7429520661,-1.033197273,322.9811497,595.3872101
702.717,32.96447999,3681.3011,0.9875376718,-1.454465732,323.0749145,594.4161096
703.717,32.96394169,3683.767214,0.9981178483,-1.466741823,323.4491269,593.718948
704.717,32.96340155,3685.206824,-0.3472636261,-2.205379077,323.7171162,591.9547073
705.717,32.96285845,3685.156318,1.368000019,-1.967117106,323.5578909,588.6949181
706.717,32.96231356,3684.706502,1.084236075,-1.611168734,323.5446403,585.0275967
707.717,32.96176669,3684.12054,-0.7887651864,-1.518089691,323.915219,581.198532
708.717,32.96121626,3683.438736,-1.820145309,-1.408572944,323.78856,577.2528904
709.717,32.96066059,3682.368055,-2.506232475,-1.406904136,323.6859979,572.8747123
710.717,32.96009909,3681.017154,-1.621309644,-1.287020016,323.4765023,568.1781418
711.717,32.9595331,3679.789404,-0.5594930782,-1.016930003,323.2595209,563.6017998
712.717,32.95896441,3679.546682,0.03924822798,-0.5735935235,323.4905998,559.9666167
713.717,32.9583948,3679.847387,0.2604283362,-1.126469696,323.6386783,556.8720701
714.717,32.95782426,3679.784587,0.06394649885,-0.9613736717,323.7657472,551.9217127
715.717,32.95725278,3679.977712,-0.6753366617,-0.1201516453,323.8104986,547.1233182
716.717,32.95668392,3677.121676,-0.4423177412,-1.5706671,324.5683217,539.2007786
717.717,32.95611897,3667.734049,-1.040514327,-3.808208684,324.5169041,524.6764392
718.717,32.95555521,3655.972353,-0.00119016015,-0.3861357001,324.4031404,507.7032288
719.717,32.95499505,3646.460471,-0.6944857374,-0.9117628061,324.6810745,492.9435219
720.717,32.95443786,3637.353587,-3.430639882,-2.032440181,325.0823891,478.4803297
721.717,32.95388045,3626.078746,-1.843322275,-1.480854168,324.4261445,466.5670652
722.717,32.95332381,3617.562413,0.9092113035,1.137495756,324.9160603,461.6150536
723.717,32.95277414,3613.352835,-0.8456755499,0.2436848212,325.0417085,460.9433059
724.717,32.95223,3611.516079,0.7725587483,1.269141035,325.3201616,463.8193269
725.717,32.95169298,3611.428573,0.4480883706,0.8894373189,325.6847025,468.3204505
726.717,32.95116296,3612.107835,0.05467800218,0.8275248557,325.959522,473.4109221
727.717,32.95063836,3612.165071,-1.19925518,0.1921609156,326.1666133,477.889684
728.717,32.9501176,3611.901513,-0.5888330096,1.071107811,326.0511558,481.870504
729.717,32.94960112,3612.852675,-0.8275032446,1.422678138,326.2835462,487.1467126
730.717,32.94908952,3614.782871,-0.6344155043,0.8254158214,326.4139755,492.6119155
731.717,32.94858223,3616.828686,-0.9312555256,1.439338784,326.1633075,486.2399768
732.717,32.94807863,3620.216626,-1.606042571,2.237554604,326.4753925,480.8991149
733.717,32.94757856,3624.356038,-3.044899826,0.8838375243,326.3595252,477.0441354
734.717,32.9470794,3627.785722,-3.408851152,1.254401167,324.9077548,472.6951057
735.717,32.94657863,3630.5241,-1.650721293,0.8526542956,325.1175236,467.7386915
736.717,32.94607917,3631.062269,0.7857482705,-1.244291846,324.4208443,460.6343095
737.717,32.94558268,3630.0388,2.760534292,0.2777370494,320.7388806,451.9266974
738.717,32.94508608,3629.487467,2.481977833,0.3455072269,322.3558322,443.7278875
739.717,32.94459291,3630.62109,-1.321831356,1.212650462,321.4783988,437.2269205
740.717,32.94409752,3632.578705,-2.864867779,0.3470303591,321.2952131,431.6344243
741.717,32.94359742,3634.897076,-2.794419073,1.01714206,320.0546868,426.4790699
742.717,32.9430932,3638.838051,1.025074791,2.514709593,319.4255718,423.0382116
743.717,32.94259084,3645.724245,1.691755362,2.424615983,319.6510227,422.6341259
744.717,32.94209256,3654.463229,0.3285815379,2.484084519,319.2733405,428.1991911
745.717,32.94159644,3664.302827,0.3431684741,2.949396279,318.9846421,431.5263053
746.717,32.94110227,3674.735871,0.1919228996,2.237510208,318.7715402,431.5051617
747.717,32.94060912,3684.905008,-0.2249990511,1.854966254,318.3376319,431.473308
748.717,32.9401135,3693.030403,-0.8336719726,0.1847774144,317.9616983,429.3956576
749.717,32.93961242,3698.866449,-0.8227433498,0.8573914587,317.3196879,423.4016431
750.717,32.93910696,3704.215091,0.711479088,1.49958895,317.1237707,416.4978695
751.717,32.93860008,3710.483238,1.957007999,1.676065243,316.6642356,411.8369957
752.717,32.93809294,3718.026643,0.4912630102,2.348267061,316.6637985,410.4600187
753.717,32.93758521,3727.055693,-0.7178141418,2.643274671,316.3439544,419.5651627
754.717,32.93707575,3737.115362,-0.476078806,2.277974596,315.7605196,429.9202536
755.717,32.93656347,3747.175124,-1.50920052,2.003007189,315.4052405,440.4164536
756.717,32.93604707,3756.745429,-1.951755157,1.649715227,315.1177442,445.7839666
757.717,32.93552539,3764.823843,-1.964937208,0.3936491216,315.0632939,449.0234927
758.717,32.93499874,3771.244108,2.250914881,0.8763183932,313.9831678,450.428288
759.717,32.93447075,3777.492865,4.991462972,1.25120229,314.9278376,449.4559529
760.717,32.93394525,3784.128124,0.5692834074,0.8758231511,317.7338432,448.92853
761.717,32.93342184,3790.491192,0.3218201309,0.898708607,318.4912019,448.0300651
762.717,32.93289876,3795.422147,1.397802909,-0.8429354167,319.1427473,445.6974897
763.717,32.93237593,3797.399051,3.33716789,-2.175218883,319.3289383,442.4503828
764.717,32.9318548,3796.427148,7.320384163,-1.742962784,319.7852769,425.139844
765.717,32.93134156,3796.01997,8.736866359,0.7159368536,321.2769629,405.7685107
766.717,32.93084309,3799.98044,5.944279911,2.770256639,322.723433,390.8527857
767.717,32.93035963,3809.69405,3.5613522,4.659827406,323.5039597,381.9114345
768.717,32.92989005,3826.26977,2.190171874,7.752341548,323.950818,380.1875725
769.717,32.92943485,3849.531655,2.049109898,7.77182637,324.5474487,385.64421
770.717,32.92899166,3875.209477,1.834986456,4.793658986,325.1981198,385.0341616
771.717,32.92855498,3896.746486,3.836407974,0.7181124823,325.5653108,347.204816
772.717,32.92812355,3911.466802,9.606737053,-0.924866524,325.9213002,308.1575426
773.717,32.92770101,3919.853132,11.65267838,-2.986890176,329.0022893,274.8932699
774.717,32.92729302,3923.979053,9.011381053,-2.353858638,331.2792558,242.4229944
775.717,32.92689831,3925.366165,6.518854207,-2.418615449,331.8944646,223.4053518
776.717,32.92651224,3925.484793,4.757693771,-1.965451394,333.6096617,209.8687538
777.717,32.92613389,3923.933094,5.680644,-3.918594786,334.299019,206.7434003
778.717,32.92576316,3920.409482,7.391745125,-2.673590893,335.0664045,211.337424
779.717,32.92540433,3918.046689,9.568003904,-0.8036101223,337.099342,219.3683713
780.717,32.92506297,3917.683227,6.005252582,-2.135669953,338.1855606,242.7775019
781.717,32.92473122,3917.14497,-1.185091929,-0.7985159751,339.3576484,273.8983578
782.717,32.92439907,3917.105302,-7.300115576,0.5032701626,338.1457543,307.6734313
783.717,32.92405455,3916.838867,-15.90309144,-0.7997368714,335.1200351,341.7638143
784.717,32.92368255,3914.262754,-23.09802125,-2.378575599,327.6148593,348.6394716
785.717,32.92326709,3907.95304,-22.25585039,-2.712678571,325.6722169,346.1451835
786.717,32.92280894,3900.529172,-24.17200874,-1.474259086,319.2661005,331.8280675
787.717,32.92230351,3895.063022,-23.87055322,0.7506831999,314.7674647,320.1641726
788.717,32.92175584,3893.364849,-25.58503315,0.7028150464,310.0743051,305.1385431
789.717,32.92116971,3893.672831,-22.49532195,0.3720156713,305.5832372,289.5181131
790.717,32.92055267,3893.969554,-12.48621503,-0.5339987035,302.8408343,287.9184664
791.717,32.91991715,3895.408244,-3.400261762,1.669814659,303.716082,305.6448321
792.717,32.91927747,3900.794731,-0.9550283192,3.196924896,304.9002183,314.6988664
793.717,32.91864038,3910.450911,-4.252081761,3.311082757,305.3544259,325.3977691
794.717,32.9180031,3920.194501,-1.966908785,0.7130746842,304.6558341,336.3840429
795.717,32.91736494,3928.946409,7.117682931,1.967689561,304.6899577,346.3765905
796.717,32.91673738,3940.022165,17.2565549,3.081960859,307.9550614,358.553562
797.717,32.91614132,3956.536274,25.04743067,4.969754923,312.6183594,376.0292804
798.717,32.9155965,3979.626833,29.40538164,5.626429801,320.5748194,389.8934638
799.717,32.91512025,4007.406695,34.17741966,5.810955899,325.2362869,399.7204667
800.717,32.91471627,4036.668827,33.34672523,5.303277329,331.1804366,401.9210518
801.717,32.91437758,4063.714848,28.17789932,2.805777678,335.0907472,400.0672409
802.717,32.91408457,4085.16338,17.78497078,-0.1123652296,338.8107142,396.5231702
803.717,32.91381651,4098.031644,6.522451582,-2.437936346,339.3237706,405.7378512
804.717,32.91355432,4104.300409,-3.957765921,-0.5277744268,339.9971727,407.7238278
805.717,32.91328479,4107.543055,-7.143155268,-0.756139187,339.0402085,404.6016829
806.717,32.91300211,4109.194639,-3.699318393,-1.747634633,335.8765742,398.7673853
807.717,32.91270488,4110.184166,-0.3181180883,-0.6422391125,339.6575757,408.9193822
808.717,32.91240798,4112.864063,-0.4430357382,0.8537010221,336.5846462,424.4802287
809.717,32.91210586,4116.529066,-1.177320027,-0.6368940626,338.6750939,441.1609817
810.717,32.91180235,4119.725234,-1.21059799,-0.7213997777,336.7239821,446.2363246
811.717,32.91149331,4122.196918,-2.390358102,-0.1191920037,336.1131719,445.7863044
812.717,32.91117882,4125.257011,-2.890100419,0.2660761023,331.3564643,442.5077455
813.717,32.91085029,4129.015927,-3.562672561,-0.1823390236,333.7111856,441.2284747
814.717,32.91051227,4131.56836,-5.062817531,-1.319560531,334.8685475,443.2464211
815.717,32.9101646,4132.138224,-5.296663572,-0.8685976647,333.1879931,445.9560371
816.717,32.90980554,4132.324192,-2.437099008,0.04934300078,332.1060365,449.4637072
817.717,32.90944073,4133.945944,1.393261581,0.3568779978,328.8004162,454.6254366
818.717,32.90907158,4138.808744,1.403005806,2.99656087,330.0889997,463.3832565
819.717,32.90870229,4147.7703,-2.85641478,3.075264499,333.91743,476.2375722
